SCORE,Ranked,Popularity,Members,Type,Magazine, Recommended,Mixed Feelings,Not Recommended
7.94,856,7945,2190,Manga,Unknown,2,1,0
7.94,858,838,20592,Manga,Dengeki G's magazine,6,1,1
7.94,871,10699,1479,Manga,Big Gangan,1,0,0
7.94,872,371,42937,Manga,Monthly Action,5,1,3
7.94,859,820,20840,Manga,Newtype,7,0,0
7.94,860,1563,12070,Manga,Shounen Gangan,5,1,2
7.94,862,565,29524,Manga,Young Gangan,5,2,1
7.94,863,3643,5301,Manga,Morning,4,0,0
7.94,864,855,20253,Manga,Jump SQ.,7,1,0
7.94,865,3083,6266,Manga,Shounen Magazine (Weekly),2,0,1
7.94,866,1078,16406,Manga,Super Jump,5,3,0
7.94,867,3388,5737,Manga,Bessatsu Friend,5,0,0
7.94,869,2305,8222,Manga,Unknown,2,0,0
7.94,870,295,52091,Manga,Shounen Jump (Weekly),33,3,0
7.93,902,699,24405,Manga,Young Gangan,3,0,0
7.93,904,9805,1672,Manga,Comic ZERO-SUM,1,0,0
7.93,905,4323,4389,Manga,Shounen Jump+,2,0,0
7.93,906,2306,8222,Manga,MAGxiv,7,0,0
7.93,907,1235,14699,Manga,Young Magazine (Weekly),12,2,1
7.93,909,16733,760,Manga,ComicWalker,2,0,0
7.93,910,1751,10649,Manga,Manga UP!,3,1,1
7.93,890,879,19529,Manga,Shounen Sunday,8,0,1
7.93,891,54,163029,Manga,Shounen Magazine (Weekly),68,13,6
7.93,892,367,43628,Manga,Unknown,21,2,0
7.93,894,4104,4651,Manga,Unknown,0,0,0
7.93,895,411,39497,Manga,Comic Alive,10,0,0
7.93,896,546,30459,Manga,Afternoon,12,2,2
7.93,897,1029,17056,Manga,Gessan,7,1,0
7.93,900,714,23807,Manga,Hana to Yume,6,1,3
7.93,901,45,176291,Manga,Shounen Jump (Weekly),28,10,5
7.93,878,200,73096,Manga,Shounen Magazine (Weekly),35,3,2
7.93,879,983,17675,Manga,Stencil,8,0,0
7.93,880,1528,12367,Manga,Hana to Yume,10,0,0
7.93,881,2783,6903,Manga,Comic ZERO-SUM,8,0,0
7.93,882,3047,6332,Manga,Gangan Wing,3,0,0
7.93,883,766,22182,Manga,GFantasy,5,0,0
7.93,885,406,39877,Manga,LaLa,24,3,0
7.93,887,5158,3604,Manga,Comp Ace,0,0,0
7.93,888,116,107802,Manga,Young King,41,6,6
7.93,873,3933,4882,Manga,Shounen Sunday,6,1,0
7.93,876,452,36184,Manga,Famitsu Comic Clear,15,2,1
7.93,877,583,28673,Manga,Hana to Yume,11,2,0
7.92,912,1088,16207,Manga,Comic MeDu,8,1,1
7.92,913,13192,1099,Manga,Ultra Jump,1,0,0
7.92,914,243,62040,Manga,Young Jump,24,2,3
7.92,916,373,42753,Manga,Shounen Jump (Weekly),13,0,0
7.92,917,679,25039,Manga,Margaret,24,4,4
7.92,918,493,33315,Manga,Comic ZERO-SUM,10,1,1
7.92,919,6231,2930,Manga,Hana to Yume,9,0,0
7.92,920,9977,1636,Manga,Ribon Magazine,3,0,0
7.92,921,6968,2551,Manga,LaLa,1,1,0
7.92,923,1116,15772,Manga,Dragon Age,12,0,0
7.92,925,1306,14080,Manga,Comic ZERO-SUM,7,0,0
7.92,927,13498,1064,Manga,Unknown,0,0,0
7.92,929,414,39188,Manga,Comic Gene,3,1,0
7.92,930,4149,4590,Manga,Niconico Seiga,1,0,0
7.91,947,1895,9790,Manga,Young Gangan,1,0,0
7.91,948,1198,14955,Manga,Deluxe Margaret,6,0,0
7.91,949,3678,5246,Manga,Chara,3,0,0
7.91,950,564,29533,Manga,Comic Alive,0,1,0
7.91,935,8574,1977,Manga,from RED,1,0,0
7.91,940,1519,12405,Manga,Comic Zenon,4,0,0
7.91,937,97,119877,Manga,twi4,23,2,3
7.91,938,3570,5407,Manga,Shounen Sunday,2,0,0
7.91,951,2542,7555,Manga,Dengeki Daioh,3,0,0
7.91,952,718,23603,Manga,Nakayoshi,16,4,0
7.91,953,2824,6772,Manga,Mugenkan,1,1,0
7.91,955,3180,6100,Manga,Hana to Yume,7,0,0
7.91,956,1064,16577,Manga,Big Comic Spirits,7,2,1
7.91,957,2784,6898,Manga,Unknown,3,0,0
7.91,959,391,41137,Manga,Hana to Yume,20,2,1
7.91,960,702,24340,Manga,Sho-Comi,22,3,2
7.91,961,4467,4236,Manga,Emerald,0,0,0
7.91,963,2465,7783,Manga,Young Magazine (Weekly),4,1,1
7.91,943,3966,4842,Manga,Comic Corona,1,0,0
7.91,945,1893,9792,Manga,Unknown,10,0,0
7.9,983,2711,7097,Manga,gateau,3,0,0
7.9,984,6275,2896,Manga,Young Animal,5,0,0
7.9,976,1027,17066,Manga,Young Champion Magazine,10,0,0
7.9,977,3512,5496,Manga,Comic Garden,0,0,0
7.9,982,275,56357,Manga,Afternoon,30,2,0
7.9,964,769,22152,Manga,Ribon Magazine,12,1,0
7.9,965,666,25408,Manga,Hana to Yume,8,2,1
7.9,966,1813,10249,Manga,Young Sunday (Weekly),12,0,0
7.9,967,1476,12723,Manga,Ribon Magazine,6,0,0
7.9,968,2163,8746,Manga,LaLa DX,6,0,1
7.9,969,210,69830,Manga,Shounen Magazine (Weekly),52,6,12
7.9,970,2661,7216,Manga,Big Comic Spirits,9,1,0
7.9,972,2185,8642,Manga,Shounen Champion (Weekly),2,2,0
7.9,973,807,21222,Manga,Shounen Gangan,3,0,0
7.9,979,5307,3488,Manga,Web DenPlay Comic,0,0,0
7.9,980,31,220260,Manga,Shounen Magazine (Weekly),45,30,20
7.9,981,1211,14864,Manga,Hana to Yume,4,0,0
7.89,1010,1915,9692,Manga,MangaONE,2,0,0
7.89,1011,50,165376,Manga,Shounen Jump+,85,11,11
7.89,985,166,82637,Manga,Web Comic Apanta,19,1,2
7.89,986,1131,15641,Manga,Comic Days,16,0,0
7.89,987,5008,3725,Manga,Unknown,4,0,0
7.89,1005,324,47895,Manga,Jump SQ.,12,0,2
7.89,1006,770,22150,Manga,Manga Time Kirara Carat,4,1,0
7.89,992,1885,9819,Manga,Hana to Yume,5,0,0
7.89,993,1954,9495,Manga,Hana to Yume,1,1,1
7.89,994,3139,6161,Manga,Big Comic,4,2,0
7.89,995,1441,12965,Manga,Comic Birz,5,2,1
7.89,996,1579,11879,Manga,Asuka,6,0,0
7.89,997,1681,11175,Manga,Comic Rush,2,0,0
7.89,998,3207,6045,Manga,Big Comic Superior,4,0,1
7.89,999,2430,7875,Manga,Unknown,6,1,1
7.89,1000,8603,1968,Manga,Big Comic Spirits,2,0,0
7.89,1001,772,22138,Manga,Comic Birz,3,0,0
7.89,1002,3077,6274,Manga,Bessatsu Hana to Yume,2,0,0
7.89,1003,66,153129,Manga,Jump SQ.,17,1,1
7.89,989,3196,6074,Manga,Shounen Sunday,6,0,0
7.89,990,863,19992,Manga,Shounen Jump (Weekly),8,1,0
7.88,1028,7806,2235,Manga,Comic Alive,0,0,0
7.88,1026,2123,8892,Manga,Manga Park,3,0,0
7.88,1027,4175,4552,Manga,Canna,6,0,0
7.88,1013,700,24387,Manga,Dengeki G's Comic,2,1,0
7.88,1014,620,27249,Manga,Opera,16,2,1
7.88,1015,7454,2366,Manga,Comp Ace,2,0,0
7.88,1017,934,18494,Manga,Big Comic Original,5,3,2
7.88,1018,207,70375,Manga,Young Champion Magazine,31,4,3
7.88,1019,1149,15441,Manga,Comptiq,2,0,0
7.88,1020,5100,3649,Manga,Unknown,3,0,0
7.88,1021,1595,11799,Manga,Bessatsu Hana to Yume,3,0,0
7.88,1022,2210,8564,Manga,Shounen Sunday,5,0,0
7.88,1024,3657,5289,Manga,Sho-Comi,2,1,0
7.88,1033,293,52487,Manga,Unknown,5,0,0
7.87,1037,3188,6091,Manga,GFantasy,2,0,1
7.87,1039,33,209397,Manga,Shounen Jump (Weekly),64,19,14
7.87,1048,4352,4353,Manga,Dengeki G's Comic,1,0,0
7.87,1049,821,20825,Manga,Dessert,8,1,0
7.87,1050,2067,9096,Manga,Gangan Joker,1,0,0
7.87,1051,1790,10401,Manga,Young Animal,1,1,0
7.87,1052,3497,5527,Manga,Comic Earth☆Star,4,1,0
7.87,1064,2941,6537,Manga,Flat Hero's,4,0,1
7.87,1041,972,17792,Manga,Web Comic Apanta,8,1,1
7.87,1043,1381,13387,Manga,Dengeki Maoh,4,1,0
7.87,1044,2963,6492,Manga,Unknown,2,0,0
7.87,1045,1932,9604,Manga,Unknown,3,0,0
7.87,1046,3904,4918,Manga,Morning Two,2,1,0
7.87,1047,10638,1492,Manga,Charles Mag,1,0,0
7.87,1053,318,48562,Manga,Shounen Magazine (Weekly),36,4,8
7.87,1054,928,18600,Manga,Princess,22,1,2
7.87,1055,2407,7941,Manga,Mystery Bonita,5,0,0
7.87,1056,7303,2422,Manga,Morning,1,0,0
7.87,1057,3340,5814,Manga,Shounen Magazine (Weekly),5,2,0
7.87,1058,1372,13461,Manga,Comic Mahou no iLand,10,5,3
7.87,1059,1166,15276,Manga,RuTile,7,2,0
7.87,1061,4854,3872,Manga,Hana to Yume,0,0,0
7.87,1062,584,28617,Manga,Bessatsu Friend,12,2,0
7.87,1063,1023,17127,Manga,Bessatsu Shounen Magazine,1,0,0
7.86,1082,4184,4540,Manga,TYPE-MOON Ace,3,0,0
7.86,1070,3693,5219,Manga,Web Comic Beat's,1,0,0
7.86,1071,3257,5946,Manga,Go Go Bunch,0,0,0
7.86,1074,2567,7488,Manga,Unknown,2,0,0
7.86,1076,867,19912,Manga,Shounen Jump NEXT!,1,1,0
7.86,1067,5370,3443,Manga,Dengeki Daioh,1,0,0
7.86,1068,2774,6922,Manga,Bessatsu Friend,4,0,0
7.86,1085,237,63915,Manga,Shounen Sunday,8,1,1
7.86,1086,531,31280,Manga,Shounen Sunday,15,2,0
7.86,1087,2167,8729,Manga,Princess,6,0,0
7.86,1088,1413,13171,Manga,Shounen Gangan,3,0,0
7.86,1089,3338,5818,Manga,Big Comic,2,0,0
7.86,1091,950,18124,Manga,Ultra Jump,1,1,0
7.86,1092,2693,7130,Manga,Shounen Sunday,6,0,0
7.86,1093,3148,6146,Manga,Shounen Sunday,2,1,0
7.86,1094,645,26346,Manga,Morning Two,4,0,0
7.86,1095,2400,7956,Manga,Comic Avarus,5,0,0
7.86,1096,3747,5136,Manga,The Hana to Yume,2,0,0
7.86,1097,460,35161,Manga,Gangan Joker,6,3,0
7.86,1077,6004,3038,Manga,Comic PASH!,2,0,0
7.86,1079,1373,13453,Manga,Dengeki Daioh,4,0,0
7.86,1080,2425,7891,Manga,Afternoon,8,0,0
7.85,1119,967,17853,Manga,gateau,5,0,0
7.85,1120,629,27048,Manga,Comic Newtype,3,1,1
7.85,1121,2607,7384,Manga,MangaONE,2,0,0
7.85,1123,4558,4132,Manga,Dengeki G's Comic,1,0,0
7.85,1124,5376,3440,Manga,Harta,4,0,0
7.85,1125,5066,3679,Manga,Manga Time Kirara Forward,1,0,0
7.85,1109,4076,4697,Manga,Manga Time Kirara Miracle!,2,0,0
7.85,1115,2368,8038,Manga,Ribon Magazine,6,1,0
7.85,1116,3240,5977,Manga,GFantasy,1,0,0
7.85,1117,650,26085,Manga,AlphaPolis Web Manga,7,2,2
7.85,1110,11980,1266,Manga,Young Ace UP,2,0,0
7.85,1098,13,372327,Manga,Shounen Jump (Weekly),70,41,20
7.85,1099,313,49262,Manga,Shounen Magazine (Weekly),26,6,3
7.85,1100,651,26049,Manga,Ribon Magazine,22,1,0
7.85,1101,3618,5346,Manga,Unknown,3,0,0
7.85,1102,2179,8701,Manga,Bessatsu Margaret,8,0,0
7.85,1103,1332,13820,Manga,Young Sunday (Weekly),4,0,1
7.85,1104,720,23525,Manga,Shounen Champion (Weekly),5,0,0
7.85,1106,1447,12925,Manga,Betsucomi,6,0,0
7.85,1107,685,24769,Manga,GFantasy,4,1,0
7.85,1111,2840,6741,Manga,Morning,2,0,0
7.85,1113,1024,17126,Manga,Dessert,14,3,1
7.84,1150,1575,11923,Manga,Dessert,8,0,0
7.84,1152,8288,2065,Manga,Dengeki G's magazine,0,0,0
7.84,1153,10938,1431,Manga,Comp Ace,1,0,0
7.84,1154,4763,3944,Manga,Shounen Magazine Edge,0,0,1
7.84,1148,321,48440,Manga,Jump SQ.,17,0,1
7.84,1126,589,28455,Manga,Sunday Webry,11,0,0
7.84,1128,3681,5242,Manga,Da Vinci,4,0,1
7.84,1130,759,22383,Manga,Kurage Bunch,7,1,0
7.84,1143,542,30584,Manga,Evening,18,3,1
7.84,1144,2448,7820,Manga,Dengeki Daioh,2,0,0
7.84,1146,7411,2384,Manga,Ultra Jump,1,0,0
7.84,1134,728,23290,Manga,Afternoon,7,0,0
7.84,1135,3866,4982,Manga,Flowers (Monthly),4,1,0
7.84,1136,14091,1003,Manga,Margaret,0,0,0
7.84,1137,1483,12648,Manga,Shounen Ace,5,0,0
7.84,1138,2616,7357,Manga,Shounen Magazine (Weekly),3,0,0
7.84,1139,3884,4941,Manga,Gessan,3,0,0
7.84,1140,1330,13833,Manga,Young Gangan,3,1,0
7.84,1132,7874,2211,Manga,Comic it,1,0,0
7.83,1182,3197,6074,Manga,MangaONE,3,0,0
7.83,1173,1543,12279,Manga,Comic POOL,2,1,0
7.83,1175,435,37712,Manga,Gessan,10,0,0
7.83,1176,2911,6595,Manga,Kachicomi,1,0,0
7.83,1177,850,20306,Manga,Comic Tatan,11,1,0
7.83,1178,1221,14775,Manga,Comic Yuri Hime,6,1,0
7.83,1155,5763,3171,Manga,Gekkan! Spirits,2,0,0
7.83,1157,4762,3945,Manga,Dear+,3,0,0
7.83,1184,963,17877,Manga,Young Ace,3,0,0
7.83,1185,46,173502,Manga,Gangan Joker,32,9,10
7.83,1186,2017,9236,Manga,Young King OURs,3,0,1
7.83,1187,1999,9300,Manga,GUSH,3,0,0
7.83,1188,1635,11489,Manga,Dengeki Daioh,5,0,1
7.83,1159,1266,14441,Manga,Morning,11,1,1
7.83,1160,135,95521,Manga,Young Jump,25,6,11
7.83,1161,2751,6989,Manga,Comp Ace,2,0,0
7.83,1162,1505,12508,Manga,Morning,6,0,0
7.83,1163,4480,4213,Manga,Magazine E-no,3,0,0
7.83,1164,2947,6530,Manga,Kiss,7,0,0
7.83,1166,11406,1356,Manga,Shounen Magazine (Monthly),1,0,0
7.83,1167,3418,5678,Manga,Unknown,0,0,0
7.83,1168,187,78123,Manga,Dessert,25,3,0
7.83,1169,6006,3037,Manga,Dragon Age Pure,2,0,0
7.83,1170,2603,7405,Manga,Shounen Champion (Weekly),1,0,0
7.83,1171,1006,17340,Manga,Young Gangan,5,0,1
7.83,1172,3252,5962,Manga,Bessatsu Shounen Magazine,8,0,0
7.83,1189,4799,3913,Manga,Sho-Comi,3,0,0
7.82,1192,7520,2336,Manga,Hatsu Kiss,0,0,0
7.82,1206,3269,5933,Manga,Bessatsu Hana to Yume,5,0,0
7.82,1207,1672,11249,Manga,Young Magazine (Weekly),10,0,1
7.82,1194,612,27551,Manga,Comic Gardo,15,2,1
7.82,1195,4179,4546,Manga,Morning Two,2,0,0
7.82,1196,7250,2441,Manga,Dengeki Maoh,2,0,0
7.82,1197,1334,13807,Manga,MangaONE,15,2,1
7.82,1198,494,33300,Manga,Gessan,9,1,0
7.82,1199,2621,7339,Manga,MAGxiv,5,0,1
7.82,1200,3908,4912,Manga,Gene pixiv,2,1,0
7.82,1201,7822,2228,Manga,Comic Corona,0,0,0
7.82,1208,1326,13862,Manga,Bessatsu Margaret,12,0,0
7.82,1209,2339,8135,Manga,Shounen Sunday,5,2,1
7.82,1211,569,29378,Manga,Gangan Joker,10,1,1
7.82,1212,4982,3754,Manga,Melody,2,0,0
7.82,1214,12786,1152,Manga,Ribon Magazine,1,0,0
7.82,1215,3373,5758,Manga,Super Jump,2,0,0
7.82,1216,10852,1449,Manga,Big Comic Superior,1,0,0
7.82,1217,2884,6647,Manga,Club Sunday,5,1,0
7.82,1218,26536,317,Manga,Unknown,0,0,0
7.82,1219,11843,1283,Manga,CoroCoro Comic,1,0,0
7.82,1222,836,20613,Manga,Shounen Magazine (Weekly),13,1,1
7.81,1244,1537,12299,Manga,Dengeki G's Comic,1,0,0
7.81,1245,345,45396,Manga,Jump SQ.,13,2,2
7.81,1228,9265,1789,Manga,Betsucomi,1,0,0
7.81,1235,725,23382,Manga,YOU,12,1,0
7.81,1236,1238,14683,Manga,Shounen Jump (Weekly),3,0,0
7.81,1230,4908,3822,Manga,Kiss,2,0,1
7.81,1231,272,56657,Manga,Young Ace UP,9,0,1
7.81,1232,2817,6801,Manga,Comic Cune,4,0,0
7.81,1233,1455,12848,Manga,Comic Corona,4,1,0
7.81,1234,3524,5480,Manga,Ultra Jump,3,0,0
7.81,1246,991,17484,Manga,Comic Birz,3,0,0
7.81,1247,815,21060,Manga,Comic High!,26,0,0
7.81,1248,1603,11748,Manga,GFantasy,4,1,0
7.81,1250,8374,2037,Manga,Margaret,0,0,0
7.81,1251,1082,16325,Manga,Betsucomi,9,1,1
7.81,1252,785,21857,Manga,Young Sunday (Weekly),9,0,0
7.81,1253,1170,15234,Manga,LaLa DX,12,2,0
7.81,1254,2955,6521,Manga,Ribon Magazine,6,1,0
7.81,1238,1944,9531,Manga,Sunday Webry,2,0,0
7.81,1239,12883,1141,Manga,Shounen Sunday,1,0,0
7.81,1241,6862,2603,Manga,Manga Life STORIA Dash,1,0,0
7.8,1288,1797,10354,Manga,Manga Life STORIA,5,1,1
7.8,1289,7255,2437,Manga,LINE Manga,2,0,0
7.8,1290,334,46775,Manga,Young Jump,25,4,1
7.8,1291,2145,8808,Manga,Comic Earth☆Star,7,1,2
7.8,1292,984,17669,Manga,Comic Yuri Hime,2,0,1
7.8,1293,4116,4634,Manga,Gene LINE,1,0,0
7.8,1272,8357,2045,Manga,Gessan,1,0,0
7.8,1274,111,108829,Manga,Comic Flapper,28,5,3
7.8,1275,5946,3063,Manga,Champion RED,5,0,0
7.8,1276,3658,5289,Manga,Dengeki Bunko Magazine,1,0,0
7.8,1283,409,39610,Manga,Comic Flapper,18,3,0
7.8,1284,3930,4884,Manga,Comic Gene,5,0,0
7.8,1285,446,36708,Manga,Dengeki Daioh,2,1,0
7.8,1286,6058,3011,Manga,Big Comic Superior,0,0,0
7.8,1255,874,19716,Manga,Ribon Magazine,3,1,2
7.8,1256,327,47659,Manga,Shounen Jump (Weekly),18,0,2
7.8,1257,220,66590,Manga,Young Magazine (Weekly),24,2,2
7.8,1258,1848,10022,Manga,Be x Boy GOLD,4,0,0
7.8,1259,1577,11900,Manga,Shounen Sunday,2,0,0
7.8,1260,1004,17346,Manga,Asuka,3,0,1
7.8,1262,1683,11168,Manga,LaLa,4,1,0
7.8,1263,3440,5629,Manga,Beans Ace,1,1,0
7.8,1264,368,43590,Manga,Shounen Magazine (Weekly),18,2,1
7.8,1265,4744,3959,Manga,Bessatsu Hana to Yume,3,0,0
7.8,1266,472,34266,Manga,Champion RED,20,1,0
7.8,1268,2177,8708,Manga,Dengeki Maoh,1,0,0
7.8,1270,471,34329,Manga,Petit Comic,20,9,4
7.8,1271,436,37621,Manga,Young King OURs,6,0,0
7.8,1282,7451,2367,Manga,Melody,1,0,0
7.79,1331,2427,7886,Manga,comico,3,2,0
7.79,1332,5523,3344,Manga,Young Ace UP,2,0,0
7.79,1333,3919,4899,Manga,Cycomics,3,0,0
7.79,1326,12034,1260,Manga,Unknown,2,0,0
7.79,1327,2294,8264,Manga,Bessatsu Shounen Magazine,5,0,0
7.79,1328,1092,16154,Manga,Comic Ryu,2,1,0
7.79,1329,1473,12735,Manga,Canna,3,0,1
7.79,1294,6364,2858,Manga,MangaONE,2,0,0
7.79,1295,3996,4798,Manga,LINE Manga,3,0,0
7.79,1296,8117,2126,Manga,MangaONE,1,0,0
7.79,1323,2429,7879,Manga,GFantasy,0,0,0
7.79,1324,3482,5550,Manga,Comic Be,5,0,1
7.79,1325,2391,7995,Manga,Evening,1,0,0
7.79,1300,218,66811,Manga,Shounen Magazine (Weekly),32,3,4
7.79,1301,3347,5805,Manga,Shounen Jump (Weekly),4,0,0
7.79,1302,4603,4091,Manga,Petit Comic,2,0,0
7.79,1303,664,25416,Manga,Shounen Magazine (Monthly),10,3,0
7.79,1304,1358,13570,Manga,Shounen Gangan,4,0,0
7.79,1305,3905,4918,Manga,Shounen Magazine (Monthly),2,0,0
7.79,1306,1059,16664,Manga,Dragon Age,3,0,1
7.79,1307,1636,11477,Manga,Shounen Ace,6,0,0
7.79,1308,1651,11398,Manga,Afternoon,3,0,0
7.79,1309,667,25393,Manga,Jump SQ.,8,1,3
7.79,1310,6653,2699,Manga,Shounen Jump (Weekly),0,0,0
7.79,1311,2389,8000,Manga,Shounen Sunday,1,0,0
7.79,1312,4185,4536,Manga,Stencil,4,0,0
7.79,1313,2734,7021,Manga,Comic REX,5,0,0
7.79,1314,3190,6084,Manga,Melody,1,0,0
7.79,1315,6863,2603,Manga,Ichiraci,0,0,0
7.79,1316,1366,13493,Manga,Sunday Gene-X,1,1,0
7.79,1317,7003,2533,Manga,Magazine-Z,2,0,0
7.79,1319,17549,703,Manga,Shounen Magazine (Weekly),0,0,0
7.79,1320,232,64549,Manga,Shounen Jump (Weekly),27,4,4
7.79,1321,1162,15308,Manga,Manga Time Kirara Forward,2,0,0
7.79,1322,11218,1388,Manga,Shounen Magazine (Weekly),0,0,0
7.79,1297,10237,1577,Manga,Hatsu Kiss,3,0,0
7.78,1363,7149,2476,Manga,Wings,1,0,0
7.78,1364,6181,2941,Manga,Harta,3,0,0
7.78,1354,1028,17065,Manga,Unknown,9,0,0
7.78,1355,9576,1722,Manga,Unknown,1,0,0
7.78,1356,1286,14295,Manga,Shounen Jump+,8,2,0
7.78,1357,12245,1231,Manga,Flowers (Monthly),1,0,0
7.78,1358,3807,5059,Manga,Young Ace UP,4,0,0
7.78,1359,2119,8911,Manga,Unknown,7,1,0
7.78,1362,2086,9033,Manga,Shounen Magazine (Weekly),7,0,0
7.78,1334,454,36092,Manga,AlphaPolis Web Manga,9,1,0
7.78,1335,4013,4779,Manga,Manga Time Kirara☆Magica,2,1,0
7.78,1336,3020,6374,Manga,gateau,1,0,0
7.78,1337,1471,12776,Manga,Manga Life Win,2,1,0
7.78,1339,4105,4650,Manga,Comic Newtype,0,0,0
7.78,1368,933,18501,Manga,Magazine Be x Boy,3,0,0
7.78,1369,7805,2235,Manga,Shounen Champion (Weekly),3,0,0
7.78,1370,3415,5686,Manga,Age Premium,1,0,0
7.78,1340,201,72666,Manga,Shounen Jump (Weekly),9,5,3
7.78,1341,171,81456,Manga,Shounen Magazine (Weekly),20,10,2
7.78,1342,1762,10579,Manga,Afternoon,6,1,0
7.78,1343,161,85258,Manga,Nemuki,11,7,3
7.78,1345,6626,2712,Manga,Hana to Yume,0,0,0
7.78,1346,662,25539,Manga,Princess,18,3,0
7.78,1347,10559,1508,Manga,Shounen Magazine (Monthly),1,0,0
7.78,1348,13397,1076,Manga,Bessatsu Hana to Yume,1,0,0
7.78,1350,1997,9306,Manga,MAGCOMI,2,0,0
7.78,1351,2348,8090,Manga,Business Jump,6,0,1
7.78,1352,20394,540,Manga,SF Magazine,0,0,0
7.78,1353,1584,11837,Manga,Comic Seed!,11,0,0
7.78,1371,2219,8526,Manga,Dessert,12,0,0
7.78,1374,83,129292,Manga,Young Jump,30,5,2
7.78,1375,6465,2803,Manga,Bessatsu Shounen Champion,3,0,0
7.78,1377,762,22261,Manga,Young Jump,8,1,0
7.77,1379,507,32798,Manga,Gekkan! Spirits,23,0,0
7.77,1387,808,21199,Manga,Shounen Magazine R,2,0,1
7.77,1388,1728,10818,Manga,Dengeki G's Comic,0,0,0
7.77,1389,1851,10008,Manga,Tonari no Young Jump,5,1,0
7.77,1380,1009,17321,Manga,Dessert,9,4,0
7.77,1381,357,44625,Manga,Young Ace,19,5,2
7.77,1382,846,20397,Manga,Ura Sunday,2,1,5
7.77,1383,4810,3907,Manga,Cheese!,2,0,0
7.77,1384,8279,2069,Manga,Comic ZERO-SUM,1,0,0
7.77,1386,10241,1576,Manga,Shounen Champion (Weekly),0,0,0
7.77,1390,331,47039,Manga,Shounen Jump (Weekly),33,0,0
7.77,1391,809,21181,Manga,Shounen Sunday,13,0,0
7.77,1393,1047,16822,Manga,LaLa DX,10,2,0
7.77,1394,1150,15426,Manga,Shounen Gangan,1,0,0
7.77,1395,6808,2629,Manga,Unknown,0,0,0
7.77,1397,477,34040,Manga,Manga Time Kirara,3,2,1
7.77,1398,7210,2454,Manga,Asuka,0,0,0
7.77,1399,2220,8515,Manga,Magazine Be x Boy,6,0,0
7.77,1400,5273,3510,Manga,Shounen Sunday,6,0,1
7.77,1401,302,51233,Manga,Shounen Magazine (Weekly),41,3,1
7.77,1404,2789,6879,Manga,Young Magazine (Weekly),2,1,0
7.77,1405,588,28544,Manga,Bessatsu Shounen Magazine,9,1,1
7.77,1406,115,107908,Manga,Jump SQ.,18,6,3
7.76,1429,1855,9980,Manga,LaLa,7,0,1
7.76,1430,2566,7490,Manga,Young Ace,0,0,0
7.76,1432,4950,3787,Manga,GFantasy,0,0,0
7.76,1408,15422,870,Manga,Young Jump,1,0,0
7.76,1409,5670,3237,Manga,Comic Earth☆Star,2,3,0
7.76,1410,2744,7001,Manga,MangaONE,2,0,0
7.76,1421,1388,13334,Manga,Shounen Jump (Weekly),12,1,0
7.76,1422,4589,4109,Manga,Shounen Jump+,0,0,0
7.76,1414,2205,8583,Manga,Comic Alive,2,0,0
7.76,1416,2985,6436,Manga,The Hana to Yume,4,0,0
7.76,1419,694,24480,Manga,Comic ZERO-SUM,7,3,0
7.76,1433,2394,7988,Manga,Big Comic Original,3,0,0
7.76,1434,347,45189,Manga,Young Gangan,43,6,2
7.76,1435,4084,4683,Manga,Shounen Magazine (Weekly),2,1,0
7.76,1436,369,43319,Manga,Afternoon,18,1,0
7.76,1437,6573,2739,Manga,Betsucomi,0,0,0
7.76,1439,393,41091,Manga,Shounen Magazine (Weekly),8,0,1
7.76,1440,5605,3278,Manga,Unknown,0,0,0
7.76,1441,12616,1174,Manga,Racish,0,0,0
7.76,1442,1157,15381,Manga,GFantasy,7,0,0
7.76,1443,8321,2055,Manga,Shounen Magazine (Monthly),1,0,0
7.76,1444,2059,9119,Manga,LaLa,5,0,0
7.76,1445,3126,6197,Manga,Hana to Yume,3,0,0
7.76,1424,757,22472,Manga,Afternoon,10,2,0
7.76,1425,1904,9749,Manga,AlphaPolis Web Manga,5,0,0
7.76,1426,10003,1630,Manga,Magazine pocket,1,0,0
7.76,1427,15027,906,Manga,Magazine pocket,0,0,0
7.75,1476,6141,2961,Manga,Comic Zenon,2,0,0
7.75,1477,3545,5452,Manga,Shounen Sirius,1,0,0
7.75,1478,8771,1912,Manga,Unknown,3,0,0
7.75,1458,7243,2443,Manga,Shounen Ace,0,0,0
7.75,1459,481,33877,Manga,Dessert,10,1,1
7.75,1460,263,57887,Manga,Gangan Joker,9,1,4
7.75,1462,696,24457,Manga,Young Magazine (Monthly),3,1,0
7.75,1469,1742,10717,Manga,Comic@Bunch,7,0,0
7.75,1471,8539,1989,Manga,Shounen Gangan,0,0,0
7.75,1472,4388,4313,Manga,Gangan Joker,2,0,0
7.75,1473,2022,9223,Manga,Sho-Comi,5,0,0
7.75,1447,5350,3455,Manga,Ribon Magazine,2,0,0
7.75,1448,1010,17316,Manga,Shounen Ace,4,0,1
7.75,1449,4992,3741,Manga,Shounen Ace,0,0,0
7.75,1450,1492,12603,Manga,Dengeki Maoh,6,1,0
7.75,1453,5150,3608,Manga,Shounen Ace,0,0,0
7.75,1454,3114,6217,Manga,Petit Comic,1,2,0
7.75,1456,5143,3612,Manga,Comp Ace,0,0,0
7.75,1466,570,29334,Manga,Bessatsu Margaret,9,2,1
